kategori,subkategori,sub_subkategori,tarif_pct,tarif_efektif_pct
Rumah Tangga,,,7.95,7.95
Rumah Tangga,Dekorasi,,10.00,8.00
Rumah Tangga,Dekorasi,Cover Kipas Angin,5.75,5.75
Rumah Tangga,Dekorasi,Cover Kursi,10.00,8.00
Rumah Tangga,Dekorasi,Hiasan Dinding,10.00,8.00
Rumah Tangga,Dekorasi,Hiasan Natal,10.00,8.00
Rumah Tangga,Dekorasi,Jam Dinding,10.00,8.00
Rumah Tangga,Dekorasi,Jam Meja,10.00,8.00
Rumah Tangga,Dekorasi,Keset,10.00,8.00
Rumah Tangga,Dekorasi,Lampu Pohon Natal,10.00,8.00
Rumah Tangga,Dekorasi,Lilin,10.00,8.00
Rumah Tangga,Dekorasi,Lilin Aroma Terapi,10.00,8.00
Rumah Tangga,Dekorasi,Lukisan,7.50,7.50
Rumah Tangga,Dekorasi,Patung,10.00,8.00
Rumah Tangga,Dekorasi,Pohon Natal,10.00,8.00
Rumah Tangga,Dekorasi,Reed Diffuser,7.50,7.50
Rumah Tangga,Dekorasi,Slinger,10.00,8.00
Rumah Tangga,Dekorasi,Stiker Kaca,10.00,8.00
Rumah Tangga,Dekorasi,Tanaman Artifical,10.00,8.00
Rumah Tangga,Dekorasi,Taplak Meja,10.00,8.00
Rumah Tangga,Dekorasi,Tempat Lilin,10.00,8.00
Rumah Tangga,Dekorasi,Vas Bunga,10.00,8.00
Rumah Tangga,Dekorasi,Wall Sticker,10.00,8.00
Rumah Tangga,Furniture,,10.00,8.00
Rumah Tangga,Furniture,Bedside Table,10.00,8.00
Rumah Tangga,Furniture,Cermin Badan,10.00,8.00
Rumah Tangga,Furniture,Kasur,10.00,8.00
Rumah Tangga,Furniture,Kursi,7.50,7.50
Rumah Tangga,Furniture,Kursi Bar,7.50,7.50
Rumah Tangga,Furniture,Kursi Goyang,7.50,7.50
Rumah Tangga,Furniture,Kursi Kantor,7.50,7.50
Rumah Tangga,Furniture,Kursi Makan,7.50,7.50
Rumah Tangga,Furniture,Kursi Malas,7.50,7.50
Rumah Tangga,Furniture,Lemari Pakaian,10.00,8.00
Rumah Tangga,Furniture,Meja Bar,10.00,8.00
Rumah Tangga,Furniture,Meja Kantor,10.00,8.00
Rumah Tangga,Furniture,Meja Makan,10.00,8.00
Rumah Tangga,Furniture,Meja Rias,10.00,8.00
Rumah Tangga,Furniture,Meja TV,10.00,8.00
Rumah Tangga,Furniture,Meja Tamu,10.00,8.00
Rumah Tangga,Furniture,Pengaman Furniture,10.00,8.00
Rumah Tangga,Furniture,Rak,10.00,8.00
Rumah Tangga,Furniture,Rangka Tempat Tidur,10.00,8.00
Rumah Tangga,Furniture,Sofa,10.00,8.00
Rumah Tangga,Furniture,Sofa Bed,10.00,8.00
Rumah Tangga,Kamar Mandi,,10.00,8.00
Rumah Tangga,Kamar Mandi,Cermin Kamar Mandi,10.00,8.00
Rumah Tangga,Kamar Mandi,Dispenser Odol,7.50,7.50
Rumah Tangga,Kamar Mandi,Ember & Baskom,7.50,7.50
Rumah Tangga,Kamar Mandi,Gantungan Handuk,10.00,8.00
Rumah Tangga,Kamar Mandi,Gayung,7.50,7.50
Rumah Tangga,Kamar Mandi,Handuk Mandi,7.50,7.50
Rumah Tangga,Kamar Mandi,Keset Anti Slip,7.50,7.50
Rumah Tangga,Kamar Mandi,Kimono Mandi,10.00,8.00
Rumah Tangga,Kamar Mandi,Rak Toilet,10.00,8.00
Rumah Tangga,Kamar Mandi,Shower Curtain,7.50,7.50
Rumah Tangga,Kamar Mandi,Tempat Sabun,7.50,7.50
Rumah Tangga,Kamar Mandi,Tempat Sikat Gigi,7.50,7.50
Rumah Tangga,Kamar Mandi,Toilet Cover,7.50,7.50
Rumah Tangga,Kamar Mandi,Toilet Seat Anak,7.50,7.50
Rumah Tangga,Kamar Mandi,Tutup Wastafel,10.00,8.00
Rumah Tangga,Kamar Tidur,,10.00,8.00
Rumah Tangga,Kamar Tidur,Bantal Kepala,10.00,8.00
Rumah Tangga,Kamar Tidur,Guling,10.00,8.00
Rumah Tangga,Kamar Tidur,Jepitan Sprei,10.00,8.00
Rumah Tangga,Kamar Tidur,Kelambu,10.00,8.00
Rumah Tangga,Kamar Tidur,Mattress Cover,10.00,8.00
Rumah Tangga,Kamar Tidur,Sarung Bantal,10.00,8.00
Rumah Tangga,Kamar Tidur,Selimut,10.00,8.00
Rumah Tangga,Kamar Tidur,Sprei & Bed Cover,10.00,8.00
Rumah Tangga,Kebersihan,,10.00,8.00
Rumah Tangga,Kebersihan,Alat Pel,7.50,7.50
Rumah Tangga,Kebersihan,Asbak,10.00,8.00
Rumah Tangga,Kebersihan,Ember & Baskom,7.50,7.50
Rumah Tangga,Kebersihan,High Pressure Cleaner,5.75,5.75
Rumah Tangga,Kebersihan,Kain Lap,7.50,7.50
Rumah Tangga,Kebersihan,Kantong Sampah,7.50,7.50
Rumah Tangga,Kebersihan,Kemoceng,7.50,7.50
Rumah Tangga,Kebersihan,Lainnya,10.00,8.00
Rumah Tangga,Kebersihan,Pengki,10.00,8.00
Rumah Tangga,Kebersihan,Sapu,7.50,7.50
Rumah Tangga,Kebersihan,Sapu Lidi,7.50,7.50
Rumah Tangga,Kebersihan,Sarung Tangan Karet,7.50,7.50
Rumah Tangga,Kebersihan,Selang Air,10.00,8.00
Rumah Tangga,Kebersihan,Sikat,7.50,7.50
Rumah Tangga,Kebersihan,Tempat Sampah,7.50,7.50
Rumah Tangga,Kebutuhan Rumah,,7.50,7.50
Rumah Tangga,Kebutuhan Rumah,Baterai,7.50,7.50
Rumah Tangga,Kebutuhan Rumah,Baterai Jam,7.50,7.50
Rumah Tangga,Kebutuhan Rumah,Humidifier,5.75,5.75
Rumah Tangga,Kebutuhan Rumah,Payung,10.00,8.00
Rumah Tangga,Kebutuhan Rumah,Pembatas Ruangan,10.00,8.00
Rumah Tangga,Kebutuhan Rumah,Penahan Pintu,10.00,8.00
Rumah Tangga,Kebutuhan Rumah,Termometer Ruangan,10.00,8.00
Rumah Tangga,Laundry,,10.00,8.00
Rumah Tangga,Laundry,Alat Pelipat Baju,5.75,5.75
Rumah Tangga,Laundry,Bola Pencuci Baju,10.00,8.00
Rumah Tangga,Laundry,Cover Mesin Cuci,7.50,7.50
Rumah Tangga,Laundry,Gantungan Baju,10.00,8.00
Rumah Tangga,Laundry,Jaring Pakaian Mesin Cuci,10.00,8.00
Rumah Tangga,Laundry,Jemuran Baju,10.00,8.00
Rumah Tangga,Laundry,Jepit Jemuran,10.00,8.00
Rumah Tangga,Laundry,Lainnya,5.75,5.75
Rumah Tangga,Laundry,Laundry Bag,10.00,8.00
Rumah Tangga,Laundry,Meja Setrika,10.00,8.00
Rumah Tangga,Laundry,Papan Cuci Baju,10.00,8.00
Rumah Tangga,Laundry,Roll Pembersih Pakaian,7.50,7.50
Rumah Tangga,Ruang Tamu & Keluarga,,10.00,8.00
Rumah Tangga,Ruang Tamu & Keluarga,Bantal Sofa,10.00,8.00
Rumah Tangga,Ruang Tamu & Keluarga,Bean Bag,10.00,8.00
Rumah Tangga,Ruang Tamu & Keluarga,Cover Sofa,10.00,8.00
Rumah Tangga,Ruang Tamu & Keluarga,Gorden,10.00,8.00
Rumah Tangga,Ruang Tamu & Keluarga,Karpet & Tikar,10.00,8.00
Rumah Tangga,Ruang Tamu & Keluarga,Sarung Bantal Sofa,10.00,8.00
Rumah Tangga,Taman,,10.00,8.00
Rumah Tangga,Taman,Air Sofa,10.00,8.00
Rumah Tangga,Taman,Ayunan,10.00,8.00
Rumah Tangga,Taman,Benih Bibit Tanaman,10.00,8.00
Rumah Tangga,Taman,Garpu Taman,10.00,8.00
Rumah Tangga,Taman,Hiasan Taman,10.00,8.00
Rumah Tangga,Taman,Irigasi,10.00,8.00
Rumah Tangga,Taman,Kursi Pantai,7.50,7.50
Rumah Tangga,Taman,Media Tanam,10.00,8.00
Rumah Tangga,Taman,Pemotong Rumput,10.00,8.00
Rumah Tangga,Taman,Penyiram Tanaman,10.00,8.00
Rumah Tangga,Taman,Pot Tanaman,10.00,8.00
Rumah Tangga,Taman,Pupuk,10.00,8.00
Rumah Tangga,Taman,Sekop Taman,10.00,8.00
Rumah Tangga,Tempat Penyimpanan,,10.00,8.00
Rumah Tangga,Tempat Penyimpanan,Botol,10.00,8.00
Rumah Tangga,Tempat Penyimpanan,Brankas,10.00,8.00
Rumah Tangga,Tempat Penyimpanan,Keranjang,10.00,8.00
Rumah Tangga,Tempat Penyimpanan,Kotak,10.00,8.00
Rumah Tangga,Tempat Penyimpanan,Kotak Baterai,10.00,8.00
Rumah Tangga,Tempat Penyimpanan,Kotak Jam,10.00,8.00
Rumah Tangga,Tempat Penyimpanan,Kotak Karton,10.00,8.00
Rumah Tangga,Tempat Penyimpanan,Kotak Surat,10.00,8.00
Rumah Tangga,Tempat Penyimpanan,Laci,10.00,8.00
Rumah Tangga,Tempat Penyimpanan,Lainnya,10.00,8.00
Rumah Tangga,Tempat Penyimpanan,Stand Hanger,10.00,8.00
Rumah Tangga,Tempat Penyimpanan,Storage Box Multifungsi,10.00,8.00
Rumah Tangga,Tempat Penyimpanan,Tempat Obat,10.00,8.00
Rumah Tangga,Tempat Penyimpanan,Tempat Pakaian,10.00,8.00
Rumah Tangga,Tempat Penyimpanan,Tempat Perhiasan & Aksesoris,10.00,8.00
Rumah Tangga,Tempat Penyimpanan,Tempat Remote,10.00,8.00
Rumah Tangga,Tempat Penyimpanan,Tempat Sepatu & Sandal,10.00,8.00
Rumah Tangga,Tempat Penyimpanan,Tempat Tas,10.00,8.00
Rumah Tangga,Tempat Penyimpanan,Tempat Tissue,10.00,8.00
Rumah Tangga,Travel,,10.00,8.00
Rumah Tangga,Travel,Bantal Leher,10.00,8.00
Rumah Tangga,Travel,Gembok Koper,10.00,8.00
Rumah Tangga,Travel,Koper,10.00,8.00
Rumah Tangga,Travel,Luggage Cover,10.00,8.00
Rumah Tangga,Travel,Luggage Strap,10.00,8.00
Rumah Tangga,Travel,Luggage Tag,10.00,8.00
Rumah Tangga,Travel,Passport Cover,10.00,8.00
Rumah Tangga,Travel,Penutup Mata Tidur,10.00,8.00
Rumah Tangga,Travel,Travel Bag,10.00,8.00
Rumah Tangga,Travel,Travel Organizer,10.00,8.00
Rumah Tangga,Travel,Travel Toiletries Kit,10.00,8.00
Rumah Tangga,Travel,Universal Travel Adaptor,10.00,8.00
"Audio, Kamera & Elektronik Lainnya",,,6.79,6.79
"Audio, Kamera & Elektronik Lainnya",Aksesoris Kamera,,7.46,7.46
"Audio, Kamera & Elektronik Lainnya",Aksesoris Kamera,Baterai & Charger Kamera,5.75,5.75
"Audio, Kamera & Elektronik Lainnya",Aksesoris Kamera,Case Kamera,5.75,5.75
"Audio, Kamera & Elektronik Lainnya",Aksesoris Kamera,Cleaning Tools Kamera,7.50,7.50
"Audio, Kamera & Elektronik Lainnya",Aksesoris Kamera,Dry Box Kamera,7.50,7.50
"Audio, Kamera & Elektronik Lainnya",Aksesoris Kamera,Kabel Konektor Kamera,5.75,5.75
"Audio, Kamera & Elektronik Lainnya",Aksesoris Kamera,Lainnya,5.75,5.75
"Audio, Kamera & Elektronik Lainnya",Aksesoris Kamera,Microphone Kamera,5.75,5.75
"Audio, Kamera & Elektronik Lainnya",Aksesoris Kamera,Monopod Kamera,5.75,5.75
"Audio, Kamera & Elektronik Lainnya",Aksesoris Kamera,Remote Wireless Kamera,5.75,5.75
"Audio, Kamera & Elektronik Lainnya",Aksesoris Kamera,Silica Gel Kamera,5.75,5.75
"Audio, Kamera & Elektronik Lainnya",Aksesoris Kamera,Stabilizer Kamera,5.75,5.75
"Audio, Kamera & Elektronik Lainnya",Aksesoris Kamera,Strap Kamera,5.75,5.75
"Audio, Kamera & Elektronik Lainnya",Aksesoris Kamera,Tas Kamera,5.75,5.75
"Audio, Kamera & Elektronik Lainnya",Aksesoris Kamera,Tripod Kamera,5.75,5.75
"Audio, Kamera & Elektronik Lainnya",Audio,,7.24,7.24
"Audio, Kamera & Elektronik Lainnya",Audio,Amplifier,7.50,7.50
"Audio, Kamera & Elektronik Lainnya",Audio,Earphone,5.75,5.75
"Audio, Kamera & Elektronik Lainnya",Audio,Headphone,5.75,5.75
"Audio, Kamera & Elektronik Lainnya",Audio,Kabel & Konektor Audio,7.50,7.50
"Audio, Kamera & Elektronik Lainnya",Audio,Sound System,7.50,7.50
"Audio, Kamera & Elektronik Lainnya",Audio,Speaker,7.50,7.50
"Audio, Kamera & Elektronik Lainnya",Audio,TWS,5.75,5.75
"Audio, Kamera & Elektronik Lainnya",Audio,Voice Recorder,7.50,7.50
"Audio, Kamera & Elektronik Lainnya","Frame, Album & Roll Film",,7.50,7.50
"Audio, Kamera & Elektronik Lainnya","Frame, Album & Roll Film",Album Foto,7.50,7.50
"Audio, Kamera & Elektronik Lainnya","Frame, Album & Roll Film",DVs,5.75,5.75
"Audio, Kamera & Elektronik Lainnya","Frame, Album & Roll Film",Frame Digital,7.50,7.50
